Plot,X,Y
Metadata,518,Gallery
Metadata,698,Probe
Metadata,698,Genuine
Metadata,360866,Impostor
Metadata,0,Ignored
FRR,-0.318351,0.00199803
IET,0.125951,0.874049
DET,4.10418e-06,0.752583
FAR,3.42039,4.10418e-06
FRR,-0.317336,0.00202588
IET,0.126533,0.873467
DET,4.2194e-06,0.75163
FAR,3.41622,4.2194e-06
FRR,-0.316311,0.00205412
IET,0.127118,0.872882
DET,4.33785e-06,0.75065
FAR,3.41194,4.33785e-06
FRR,-0.315268,0.00208275
IET,0.127706,0.872294
DET,4.45963e-06,0.749643
FAR,3.40754,4.45963e-06
FRR,-0.314213,0.00211178
IET,0.128297,0.871703
DET,4.58482e-06,0.748607
FAR,3.40301,4.58482e-06
FRR,-0.313142,0.00214122
IET,0.12889,0.87111
DET,4.71353e-06,0.747543
FAR,3.39836,4.71353e-06
FRR,-0.312058,0.00217107
IET,0.129486,0.870513
DET,4.84586e-06,0.746448
FAR,3.39357,4.84586e-06
FRR,-0.310957,0.00220133
IET,0.130085,0.869915
DET,4.9819e-06,0.745323
FAR,3.38865,4.9819e-06
FRR,-0.309841,0.00223202
IET,0.130687,0.869313
DET,5.12175e-06,0.744166
FAR,3.38359,5.12175e-06
FRR,-0.308709,0.00226313
IET,0.131291,0.868709
DET,5.26554e-06,0.742976
FAR,3.37839,5.26554e-06
FRR,-0.307562,0.00229468
IET,0.131899,0.868101
DET,5.41336e-06,0.741754
FAR,3.37305,5.41336e-06
FRR,-0.306398,0.00232666
IET,0.132509,0.867491
DET,5.56533e-06,0.740508
FAR,3.36774,5.56533e-06
FRR,-0.305219,0.0023591
IET,0.133122,0.866878
DET,5.72157e-06,0.739297
FAR,3.36337,5.72157e-06
FRR,-0.304023,0.00239198
IET,0.133737,0.866263
DET,5.88219e-06,0.738051
FAR,3.35887,5.88219e-06
FRR,-0.302811,0.00242532
IET,0.134356,0.865644
DET,6.04732e-06,0.736771
FAR,3.35425,6.04732e-06
