Plot,X,Y
Metadata,6000,Gallery
Metadata,6000,Probe
Metadata,1041,Genuine
Metadata,358752,Impostor
Metadata,35640207,Ignored
DET,3.8831e-06,0.999021
FAR,-7.95615,3.8831e-06
FRR,-9.66455,0.00024705
IET,0.00197056,0.999361
DET,3.99211e-06,0.999019
FAR,-7.95643,3.99211e-06
FRR,-9.66455,0.000251653
IET,0.00199803,0.999352
DET,4.10418e-06,0.999017
FAR,-7.95671,4.10418e-06
FRR,-9.66455,0.000256341
IET,0.00202588,0.999343
DET,4.2194e-06,0.999015
FAR,-7.95701,4.2194e-06
FRR,-9.66455,0.000261116
IET,0.00205412,0.999334
DET,4.33785e-06,0.999013
FAR,-7.95731,4.33785e-06
FRR,-9.66455,0.00026598
IET,0.00208275,0.999325
DET,4.45963e-06,0.999011
FAR,-7.95762,4.45963e-06
FRR,-9.66455,0.000270935
IET,0.00211178,0.999315
DET,4.58482e-06,0.999008
FAR,-7.95794,4.58482e-06
FRR,-9.66455,0.000275983
IET,0.00214122,0.999306
DET,4.71353e-06,0.999006
FAR,-7.95827,4.71353e-06
FRR,-9.66455,0.000281124
IET,0.00217107,0.999296
DET,4.84586e-06,0.999004
FAR,-7.95861,4.84586e-06
FRR,-9.66455,0.000286361
IET,0.00220133,0.999286
DET,4.9819e-06,0.999002
FAR,-7.95896,4.9819e-06
FRR,-9.66455,0.000291696
IET,0.00223202,0.999276
DET,5.12175e-06,0.998999
FAR,-7.95932,5.12175e-06
FRR,-9.66455,0.00029713
IET,0.00226313,0.999266
DET,5.26554e-06,0.998997
FAR,-7.95968,5.26554e-06
FRR,-9.66455,0.000302665
IET,0.00229468,0.999256
DET,5.41336e-06,0.998994
FAR,-7.96006,5.41336e-06
FRR,-9.66455,0.000308303
IET,0.00232666,0.999246
DET,5.56533e-06,0.998991
FAR,-7.96045,5.56533e-06
FRR,-9.66455,0.000314047
IET,0.0023591,0.999235
DET,5.72157e-06,0.998989
FAR,-7.96085,5.72157e-06
FRR,-9.66455,0.000319897
IET,0.00239198,0.999225
DET,5.88219e-06,0.998986
FAR,-7.96126,5.88219e-06
