Plot,X,Y
Metadata,6000,Gallery
Metadata,6000,Probe
Metadata,1041,Genuine
Metadata,358752,Impostor
Metadata,35640207,Ignored
IET,0.00197056,0.91951
DET,3.99211e-06,0.946345
FAR,2.26155,3.99211e-06
FRR,-0.513108,0.000251653
IET,0.00199803,0.918388
DET,4.10418e-06,0.944839
FAR,2.26155,4.10418e-06
FRR,-0.513108,0.000256341
IET,0.00202588,0.917251
DET,4.2194e-06,0.94329
FAR,2.26155,4.2194e-06
FRR,-0.513108,0.000261116
IET,0.00205412,0.916097
DET,4.33785e-06,0.941698
FAR,2.26155,4.33785e-06
FRR,-0.513108,0.00026598
IET,0.00208275,0.914928
DET,4.45963e-06,0.940061
FAR,2.26155,4.45963e-06
FRR,-0.513108,0.000270935
IET,0.00211178,0.913742
DET,4.58482e-06,0.938379
FAR,2.26155,4.58482e-06
FRR,-0.513108,0.000275983
IET,0.00214122,0.912539
DET,4.71353e-06,0.936649
FAR,2.26155,4.71353e-06
FRR,-0.513108,0.000281124
IET,0.00217107,0.91132
DET,4.84586e-06,0.93487
FAR,2.26155,4.84586e-06
FRR,-0.513108,0.000286361
IET,0.00220133,0.910084
DET,4.9819e-06,0.933042
FAR,2.26155,4.9819e-06
FRR,-0.513108,0.000291696
IET,0.00223202,0.908831
DET,5.12175e-06,0.931162
FAR,2.26155,5.12175e-06
FRR,-0.513108,0.00029713
IET,0.00226313,0.90756
DET,5.26554e-06,0.92923
FAR,2.26155,5.26554e-06
FRR,-0.513108,0.000302665
IET,0.00229468,0.906271
DET,5.41336e-06,0.927243
FAR,2.26155,5.41336e-06
FRR,-0.513108,0.000308303
IET,0.00232666,0.904965
DET,5.56533e-06,0.9252
FAR,2.26155,5.56533e-06
FRR,-0.513108,0.000314047
IET,0.0023591,0.90364
DET,5.72157e-06,0.924415
FAR,2.25106,5.72157e-06
FRR,-0.513108,0.000319897
IET,0.00239198,0.902297
DET,5.88219e-06,0.923695
FAR,2.23957,5.88219e-06
FRR,-0.513108,0.000325856
IET,0.00242532,0.900935
DET,6.04732e-06,0.922955
FAR,2.22776,6.04732e-06
FRR,-0.513108,0.000331927
IET,0.00245913,0.899554
DET,6.21709e-06,0.922195
FAR,2.21562,6.21709e-06
FRR,-0.513108,0.00033811
IET,0.00249341,0.898154
DET,6.39162e-06,0.921413
FAR,2.20313,6.39162e-06
FRR,-0.513108,0.000344409
IET,0.00252817,0.896734
DET,6.57105e-06,0.920609
FAR,2.1903,6.57105e-06
FRR,-0.513108,0.000350825
IET,0.00256341,0.895295
DET,6.75553e-06,0.919783
FAR,2.17711,6.75553e-06
FRR,-0.513108,0.00035736
IET,0.00259914,0.893835
DET,6.94518e-06,0.918933
FAR,2.16354,6.94518e-06
FRR,-0.513108,0.000364017
IET,0.00263537,0.892355
DET,7.14015e-06,0.918059
FAR,2.1496,7.14015e-06
FRR,-0.513108,0.000370799
IET,0.00267211,0.890855
DET,7.34059e-06,0.917161
FAR,2.13527,7.34059e-06
FRR,-0.513108,0.000377706
IET,0.00270935,0.889333
DET,7.54668e-06,0.916238
FAR,2.12053,7.54668e-06
FRR,-0.513108,0.000384743
IET,0.00274712,0.887791
DET,7.75853e-06,0.915289
FAR,2.10538,7.75853e-06
FRR,-0.513108,0.00039191
IET,0.00278541,0.886227
DET,7.97634e-06,0.914313
FAR,2.0898,7.97634e-06
FRR,-0.513108,0.000399211
IET,0.00282424,0.884641
DET,8.20027e-06,0.91331
FAR,2.07378,8.20027e-06
FRR,-0.513108,0.000406648
IET,0.00286361,0.883033
DET,8.43047e-06,0.912408
FAR,2.06084,8.43047e-06
FRR,-0.513108,0.000414223
IET,0.00290353,0.881402
DET,8.66714e-06,0.911796
FAR,2.05615,8.66714e-06
FRR,-0.513108,0.00042194
IET,0.002944,0.879749
DET,8.91045e-06,0.911167
FAR,2.05133,8.91045e-06
FRR,-0.513108,0.0004298
IET,0.00298504,0.878073
DET,9.16059e-06,0.910521
FAR,2.04637,9.16059e-06
FRR,-0.513108,0.000437807
IET,0.00302665,0.876373
DET,9.41777e-06,0.909856
FAR,2.04128,9.41777e-06
FRR,-0.513108,0.000445963
IET,0.00306884,0.87465
DET,9.68215e-06,0.909173
FAR,2.03604,9.68215e-06
FRR,-0.513108,0.000454271
IET,0.00311162,0.872902
DET,9.95396e-06,0.90847
FAR,2.03065,9.95396e-06
FRR,-0.513108,0.000462733
IET,0.00315499,0.871131
DET,1.02334e-05,0.907748
FAR,2.02511,1.02334e-05
FRR,-0.513108,0.000471354
IET,0.00319897,0.869334
DET,1.05207e-05,0.907005
FAR,2.01942,1.05207e-05
FRR,-0.513108,0.000480134
IET,0.00324356,0.867513
DET,1.0816e-05,0.906242
FAR,2.01356,1.0816e-05
FRR,-0.513108,0.000489079
IET,0.00328877,0.865666
DET,1.11197e-05,0.905457
FAR,2.00755,1.11197e-05
FRR,-0.513108,0.00049819
IET,0.00333462,0.863794
DET,1.14318e-05,0.90465
