Plot,4SF LFW,4SF MEDS,Eigenfaces LFW,Eigenfaces MEDS,x
CMC,0.846154,0.954155,0.629121,0.670487,113.0
CMC,0.851648,0.954155,0.631868,0.670487,114.0
CMC,0.854396,0.954155,0.634615,0.67192,115.0
CMC,0.857143,0.954155,0.637363,0.673352,116.0
CMC,0.85989,0.954155,0.64011,0.676218,117.0
CMC,0.85989,0.955587,0.645604,0.67765,118.0
CMC,0.85989,0.95702,0.645604,0.679083,119.0
CMC,0.85989,0.95702,0.651099,0.681948,120.0
CMC,0.85989,0.95702,0.653846,0.691977,121.0
CMC,0.85989,0.95702,0.653846,0.691977,122.0
CMC,0.865385,0.95702,0.653846,0.691977,123.0
CMC,0.865385,0.958453,0.656593,0.69341,124.0
CMC,0.865385,0.959885,0.659341,0.69341,125.0
CMC,0.865385,0.959885,0.664835,0.69341,126.0
CMC,0.865385,0.961318,0.67033,0.694842,127.0
CMC,0.865385,0.961318,0.678571,0.700573,128.0
CMC,0.865385,0.961318,0.681319,0.703438,129.0
CMC,0.868132,0.962751,0.692308,0.704871,130.0
CMC,0.868132,0.962751,0.695055,0.704871,131.0
CMC,0.868132,0.962751,0.695055,0.706304,132.0
CMC,0.870879,0.962751,0.695055,0.707736,133.0
CMC,0.873626,0.962751,0.695055,0.709169,134.0
CMC,0.873626,0.962751,0.697802,0.712034,135.0
CMC,0.873626,0.962751,0.697802,0.713467,136.0
CMC,0.873626,0.962751,0.697802,0.7149,137.0
CMC,0.873626,0.962751,0.697802,0.719198,138.0
CMC,0.876374,0.962751,0.708791,0.722063,139.0
CMC,0.876374,0.962751,0.708791,0.723496,140.0
CMC,0.876374,0.962751,0.708791,0.724928,141.0
CMC,0.876374,0.962751,0.708791,0.724928,142.0
CMC,0.876374,0.962751,0.711538,0.727794,143.0
CMC,0.876374,0.962751,0.711538,0.730659,144.0
CMC,0.876374,0.962751,0.711538,0.734957,145.0
CMC,0.876374,0.965616,0.711538,0.734957,146.0
CMC,0.876374,0.965616,0.714286,0.737822,147.0
CMC,0.876374,0.965616,0.71978,0.739255,148.0
CMC,0.879121,0.965616,0.71978,0.740688,149.0
CMC,0.879121,0.965616,0.71978,0.743553,150.0
