,OpenFace (Similarity)-MEDS,x
0,0.987106017192,0
1,0.641833810888,1
2,0.727793696275,2
3,0.772206303725,3
4,0.793696275072,4
5,0.818051575931,5
6,0.845272206304,6
7,0.852435530086,7
8,0.859598853868,8
9,0.869627507163,9
10,0.876790830946,10
11,0.882521489971,11
12,0.889684813754,12
13,0.895415472779,13
14,0.904011461318,14
15,0.908309455587,15
16,0.908309455587,16
17,0.914040114613,17
18,0.921203438395,18
19,0.924068767908,19
20,0.926934097421,20
21,0.926934097421,21
22,0.932664756447,22
23,0.934097421203,23
24,0.93553008596,24
25,0.936962750716,25
26,0.938395415473,26
27,0.942693409742,27
28,0.945558739255,28
29,0.945558739255,29
30,0.949856733524,30
31,0.949856733524,31
32,0.951289398281,32
33,0.951289398281,33
34,0.954154727794,34
35,0.954154727794,35
36,0.954154727794,36
37,0.954154727794,37
38,0.957020057307,38
39,0.958452722063,39
40,0.958452722063,40
41,0.961318051576,41
42,0.962750716332,42
43,0.962750716332,43
44,0.962750716332,44
45,0.964183381089,45
46,0.965616045845,46
47,0.967048710602,47
48,0.967048710602,48
49,0.967048710602,49
50,0.967048710602,50
51,0.967048710602,51
52,0.967048710602,52
53,0.968481375358,53
54,0.969914040115,54
55,0.969914040115,55
56,0.969914040115,56
57,0.969914040115,57
58,0.969914040115,58
59,0.969914040115,59
60,0.969914040115,60
61,0.969914040115,61
62,0.969914040115,62
63,0.969914040115,63
64,0.969914040115,64
65,0.969914040115,65
66,0.969914040115,66
67,0.971346704871,67
68,0.971346704871,68
69,0.971346704871,69
70,0.971346704871,70
71,0.971346704871,71
72,0.971346704871,72
73,0.971346704871,73
74,0.971346704871,74
75,0.971346704871,75
76,0.971346704871,76
77,0.971346704871,77
78,0.971346704871,78
79,0.971346704871,79
80,0.971346704871,80
81,0.971346704871,81
82,0.971346704871,82
83,0.971346704871,83
84,0.971346704871,84
85,0.971346704871,85
86,0.972779369628,86
87,0.974212034384,87
88,0.97564469914,88
89,0.97564469914,89
90,0.97564469914,90
91,0.978510028653,91
92,0.978510028653,92
93,0.978510028653,93
94,0.981375358166,94
95,0.981375358166,95
96,0.981375358166,96
97,0.981375358166,97
98,0.981375358166,98
99,0.982808022923,99
100,0.982808022923,100
101,0.982808022923,101
102,0.982808022923,102
103,0.982808022923,103
104,0.982808022923,104
105,0.982808022923,105
106,0.982808022923,106
107,0.982808022923,107
108,0.982808022923,108
109,0.982808022923,109
110,0.982808022923,110
111,0.982808022923,111
112,0.982808022923,112
113,0.982808022923,113
114,0.982808022923,114
115,0.982808022923,115
116,0.982808022923,116
117,0.982808022923,117
118,0.982808022923,118
119,0.982808022923,119
120,0.982808022923,120
121,0.982808022923,121
122,0.982808022923,122
123,0.982808022923,123
124,0.982808022923,124
125,0.982808022923,125
126,0.982808022923,126
127,0.982808022923,127
128,0.982808022923,128
129,0.982808022923,129
130,0.982808022923,130
131,0.982808022923,131
132,0.982808022923,132
133,0.982808022923,133
134,0.982808022923,134
135,0.982808022923,135
136,0.982808022923,136
137,0.982808022923,137
138,0.982808022923,138
139,0.982808022923,139
140,0.982808022923,140
141,0.982808022923,141
142,0.982808022923,142
143,0.982808022923,143
144,0.982808022923,144
145,0.982808022923,145
146,0.984240687679,146
147,0.984240687679,147
148,0.984240687679,148
149,0.984240687679,149
150,0.984240687679,150
151,0.984240687679,151
152,0.984240687679,152
153,0.984240687679,153
154,0.984240687679,154
155,0.984240687679,155
156,0.984240687679,156
157,0.984240687679,157
158,0.984240687679,158
159,0.984240687679,159
160,0.984240687679,160
161,0.984240687679,161
162,0.984240687679,162
163,0.984240687679,163
164,0.984240687679,164
165,0.984240687679,165
166,0.984240687679,166
167,0.984240687679,167
168,0.984240687679,168
169,0.984240687679,169
170,0.984240687679,170
171,0.984240687679,171
172,0.984240687679,172
173,0.984240687679,173
174,0.984240687679,174
175,0.984240687679,175
176,0.984240687679,176
177,0.984240687679,177
178,0.984240687679,178
179,0.984240687679,179
180,0.984240687679,180
181,0.984240687679,181
182,0.984240687679,182
183,0.984240687679,183
184,0.984240687679,184
185,0.984240687679,185
186,0.984240687679,186
187,0.984240687679,187
188,0.984240687679,188
189,0.984240687679,189
190,0.984240687679,190
191,0.984240687679,191
192,0.984240687679,192
193,0.984240687679,193
194,0.984240687679,194
195,0.984240687679,195
196,0.984240687679,196
197,0.984240687679,197
198,0.984240687679,198
199,0.984240687679,199
